Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Glenrothes and Mid Fife,Progressives,4.049901590189865,0.0,0.0,0.0,0.0,0.0,0.0,0
Glenrothes and Mid Fife,Average,36.58391129668687,0.0,0.0,0.0,0.0,0.0,0.0,0
Glenrothes and Mid Fife,Liberal,3.6661871131232644,0.0,0.0,4.4,0.0,0.0,5.699106061351424,0
Glenrothes and Mid Fife,Blues,0.0,0.1586499,0.0,0.0,0.0,0.0,0.0,0
Glenrothes and Mid Fife,Reforms,0.0,5.3413501,9.8,0.0,0.0,0.0,20.111815281959604,0
Gordon and Buchan,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.4897244,0
Gordon and Buchan,Left,0.0,0.0,0.0,0.0,0.0,0.0,7.611818921116827,0
Gordon and Buchan,Progressives,4.574549942452858,0.0,0.0,0.0,0.0,0.0,0.0,0
Gordon and Buchan,Average,6.125450057547141,5.889036746819613,0.0,0.0,0.0,0.0,22.698456678883176,0
Gordon and Buchan,Liberal,0.0,9.599585206962246,0.0,16.6,0.0,0.0,0.0,0
Gordon and Buchan,Blues,0.0,1.1610851,0.0,0.0,0.0,0.0,0.0,0
Gordon and Buchan,Reforms,0.0,16.150292946218137,9.1,0.0,0.0,0.0,0.0,0
Hamilton and Clyde Valley,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.180241,0
Hamilton and Clyde Valley,Left,0.0,0.0,0.0,0.0,0.0,0.0,9.149702085402174,0
Hamilton and Clyde Valley,Progressives,5.139116860793576,0.0,0.0,0.0,0.0,0.0,0.0,0
Hamilton and Clyde Valley,Average,35.92479607265531,0.0,0.0,0.0,0.0,0.0,0.0,0
Hamilton and Clyde Valley,Liberal,8.836087066551109,0.0,0.0,3.6,0.0,0.3,7.042364586569585,0
Hamilton and Clyde Valley,Blues,0.0,0.3132518,0.0,0.0,0.0,0.0,0.0,0
Hamilton and Clyde Valley,Reforms,0.0,10.5867482,7.8,0.0,0.0,0.0,10.027692328028243,0
Inverclyde and Renfrewshire West,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.6241116,0
Inverclyde and Renfrewshire West,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.493999539987264,0
Inverclyde and Renfrewshire West,Progressives,5.034127431190226,0.0,0.0,0.0,0.0,0.0,0.0,0
Inverclyde and Renfrewshire West,Average,37.51310951652239,0.0,0.0,0.0,0.0,0.0,0.0,0
Inverclyde and Renfrewshire West,Liberal,4.352763052287379,0.0,0.0,3.1,2.9,2.7,6.3053851458794465,0
Inverclyde and Renfrewshire West,Blues,0.0,0.18882,0.0,0.0,0.0,0.0,0.0,0
Inverclyde and Renfrewshire West,Reforms,0.0,6.91118,6.1,0.0,0.0,0.0,15.676503714133291,0
"Inverness, Skye and West Ross-shire",Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.6752124,0
"Inverness, Skye and West Ross-shire",Left,0.0,0.0,0.0,0.0,0.0,0.0,8.494797687861261,0
"Inverness, Skye and West Ross-shire",Progressives,5.607122927347028,0.0,0.0,0.0,0.0,0.0,0.0,0
