Seat,Nation,County,Region,DominantHandTribe,Archetype_1,Archetype_2,Archetype_3,Archetype_4,Archetype_5,Hand_Muslim,Hand_Left,Hand_Progressives,Hand_Average,Hand_Liberal,Hand_Blues,Hand_Reforms
Birmingham Perry Barr,england,West Midlands,West Midlands,Muslim,51.646767751211875,21.706234581331447,1.0942290076920165,0.0,25.552768659764663,42.8900852,15.801712522275748,29.45541217097587,0.0,3.4540094035506206,3.3817706000000003,5.017010103197756
Birmingham Selly Oak,england,West Midlands,West Midlands,Left,14.521038070318726,24.214691854443075,4.2811869521781665,21.27351096069722,35.70957216236283,12.9008362,23.7964425520225,17.117555272590508,15.258649443220534,14.500880732831211,2.2816293,14.144006499335248
Birmingham Yardley,england,West Midlands,West Midlands,Muslim,38.72475197160047,33.29211091802089,1.0458230240210056,7.696295743672332,19.241018342685308,42.5575024,14.41751148840632,15.84313386544776,1.5832724861949714,11.989346801869402,1.4658943999999998,12.143338558081547
Bishop Auckland,england,County Durham,North East,Reforms,0.0,61.6635900748265,1.0105575864431586,30.10385515936204,7.2219971793683015,0.2947422999999999,8.8116264335863,6.335557794023536,22.19926625859736,16.3389472739007,14.1808956,31.83896433989211
Blackburn,england,Lancashire,North West,Muslim,38.74613858756308,38.32137466685641,0.0,6.946181522541855,15.986305223038656,46.7578219,13.25303998052557,7.458824742832892,7.621654086227807,10.544901475945306,0.4563538,13.907404014468415
Blackley and Middleton South,england,Greater Manchester,North West,Progressives,14.921182235110736,55.44552123317633,18.751575358772666,2.0443686165502966,8.83735255638998,16.3151051,11.92137346413944,23.58795291035441,20.101003900995607,7.981303188408619,1.9724973,18.12076413610193
Blackpool North and Fleetwood,england,Lancashire,North West,Average,0.0,55.77165955797455,0.0,36.85008397839259,7.378256463632864,0.5041734,7.730676418638193,6.673459646375791,41.50342450716809,14.502650424573186,0.2326268999999999,28.852988703244737
Blackpool South,england,Lancashire,North West,Average,2.4974413390718375,61.137473344282945,2.2001036825360987,21.048798576772352,13.116183057336773,1.6558682000000002,9.433178378135583,9.271114568236555,40.320457315977336,8.331746430646238,0.6040447,30.38359040700428
Blaydon and Consett,england,County Durham; Tyne and Wear,North East,Reforms,0.0,53.17204025181817,0.8842328733623235,35.25303149866233,10.690695376157173,0.4315761,8.132637089455057,6.176323973808297,29.0563380390397,21.391200562524865,5.395919000000001,29.416005235172072
Blyth and Ashington,england,Northumberland,North East,Average,0.0,65.70811737978872,0.0,23.89787423218492,10.39400838802637,0.6667586,8.797851701130929,6.329154839391547,34.3484757017945,13.799532450744172,3.3263000000000007,32.73192670693886
Bognor Regis and Littlehampton,england,West Sussex,South East,Average,0.0,50.16926582693729,3.2831334398362872,37.71107189267172,8.836528840554697,0.7818046000000001,7.649714247592783,7.830685105259473,37.76390128233513,18.91504480447685,0.4551056,26.60374436033576
Bolsover,england,Derbyshire,East Midlands,Reforms,0.0,64.85877065061408,0.7729268317796968,25.82583749897185,8.542465018634383,0.2945199,7.794808958846332,5.652181303445897,22.29238930189948,18.456775606864237,10.448641300000002,35.060683628944055
Bolton North East,england,Greater Manchester,North West,Average,14.347036778665728,48.15043491413376,5.251425999811019,21.89446890879672,10.356633398592779,17.039449400000002,10.50607242831007,10.755563322534098,22.19180644387822,16.738829889796698,1.2757399,21.49253861548091
Bolton South and Walkden,england,Greater Manchester,North West,Muslim,22.271298164466312,53.43107019202583,5.63343895228465,6.374165692277027,12.290026998946175,25.0590921,12.13537435778413,13.42034051963632,16.42946110055246,10.998829822772754,2.1070781,19.84982399925434
Bolton West,england,Greater Manchester,North West,Liberal,9.218027278209878,36.347367102260954,5.284595612657946,39.86431030015334,9.285699706717878,9.7628981,8.756681152904726,8.341123798274342,23.90810307263999,25.99727321257035,2.6066553,20.62726536361058
