Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Broxtowe,Nottinghamshire,East Midlands,6,3,1,False,2.3212052136243298e-07,0.0149069771887412,99.55551210524754,1.210443160610253e-08,0.3807784573955702,1.2538280017743389e-05,5.026262260711217e-06,0.0023199620227581977,8.407700093954964e-08,0.04646460530117817,1.318050101123733e-15,0.0
Buckingham and Bletchley,Buckinghamshire,South East,6,10,3,False,9.955966389107475e-07,6.57303304306959e-06,6.1145931731665e-05,4.460277113684893,4.4829369282349385e-07,0.0008980788288328058,6.618890563454837e-07,4.178259423483768e-09,0.00050057577384869,95.53825432013969,8.265036219805402e-08,0.0
Burnley,Lancashire,North West,10,2,8,False,1.0443427795536985e-09,99.92892730828474,0.0011236921440845938,7.741002784365558e-18,0.04441514891418425,1.0555615690446694e-19,0.02523765003316054,7.636245150469978e-06,1.516677177060165e-07,0.0002884116650571102,1.5738303377743392e-12,0.0
Burton and Uttoxeter,Staffordshire,West Midlands,9,10,1,False,7.618722617364855e-07,0.0010461556942151272,1.5741687443494034e-05,38.301545665104655,9.84256261743682e-07,0.06015299676518003,6.777488196765746e-11,2.6869426736985772e-08,6.599178952847714e-06,61.637231068499354,4.560178118595473e-12,0.0
Bury North,Greater Manchester,North West,9,10,8,False,4.964569727244352e-06,1.9635680324815799,0.3018719292336763,0.06911249037477776,0.0004101258794038397,0.011890958043572469,2.522146017341421e-07,0.008844490239245674,0.007489445616964651,97.63680731103686,3.095682868749663e-10,0.0
Bury South,Greater Manchester,North West,6,5,4,True,8.35069621423737e-32,9.050976330181602e-08,2.4356589931700066e-42,1.3504317698564135e-112,99.99999990949036,1.5025477682493126e-97,4.428351339298e-62,2.4364678928471217e-52,2.5675441365010917e-27,4.4282643452183435e-62,2.2584755237704566e-116,0.0
Bury St Edmunds and Stowmarket,Suffolk,Eastern,1,6,1,False,8.635411998498991e-06,0.03550314783009646,0.1520185426227749,0.002177176323610072,1.5181375337911318,98.29157983118515,3.206753573376914e-13,0.0005723301579043362,2.3406475350864943e-07,2.5686121473505607e-06,2.5645199478571734e-13,0.0
Calder Valley,West Yorkshire,Yorkshire and the Humber,1,6,1,False,2.265169257150325e-08,0.0006948633083942084,3.5171399076763787,0.31761126281456026,5.9776468231350765e-05,94.03135974333271,4.813004716554433e-09,0.004483913112005322,4.933123722333071e-06,2.128645572670805,2.8385807598869772e-11,0.0
Camborne and Redruth,Cornwall,South West,1,6,1,False,8.482070676442001e-09,3.064419365289947e-06,0.007103595690087862,9.742213972484242,7.766025221366752e-08,90.19661342628058,2.0269430181929744e-11,0.0001832327453781002,1.0123745463983094e-08,0.05388261203671714,5.731629370702192e-11,0.0
Cambridge,Cambridgeshire,Eastern,4,3,2,False,4.9430655591661666e-05,1.867667685385505e-07,99.62809772784573,6.641932089016133e-30,0.1278350542878567,1.0541882413447491e-57,1.9566367569439738e-11,6.300388403986927e-19,0.24401759576458695,4.659866749842614e-09,2.465547014587692e-76,0.0
Cannock Chase,Staffordshire,West Midlands,9,4,1,False,1.1064567806784082e-06,0.00018197458486376105,0.00020811435567707202,97.37877573877692,0.0001889178067907445,1.3253342884750632,2.850898388220612e-13,3.681866204844051e-06,3.322881521660933e-08,1.2953061444485259,8.749126976644973e-15,0.0
Canterbury,Kent,South East,3,3,7,False,3.5040614356130396e-09,0.00013340505994203833,99.99940385061903,1.534438361625761e-07,0.0002880663533747002,7.440326799282777e-11,1.2079890831473454e-09,5.7035251130224524e-05,2.617867979291496e-06,0.0001148666181592408,1.8662357341615194e-25,0.0
